timestamp,x,y,yaw,v_current,cte,yaw_err,look_ahead_dist,target_x,target_y,target_local_x,target_local_y,kp,ki,kd,k_cte,mode_idx,in_slow_zone,steer_cmd,accel_cmd
1770453631.7612221,-4.1832,2.5914,-0.0134,0.164,0.0,-1.5563,0.068,-4.18,-0.3583,0.0428,-2.9494,6.0,0.045,1.0,3.0,2,0,-2.0,0.164
1770453631.780122,-4.1833,2.5912,-0.0131,0.179,0.0,-1.5566,0.074,-4.18,-0.3583,0.0419,-2.9493,6.0,0.045,1.0,3.0,2,0,-2.0,0.179
1770453631.8006833,-4.1833,2.5912,-0.0126,0.195,0.0,-1.5571,0.081,-4.18,-0.3583,0.0405,-2.9492,6.0,0.045,1.0,3.0,2,0,-2.0,0.195
1770453631.828606,-4.1833,2.591,-0.0115,0.218,0.0,-1.5581,0.088,-4.18,-0.3583,0.0373,-2.9491,6.0,0.045,1.0,3.0,2,0,-2.0,0.218
1770453631.8459904,-4.1838,2.5911,-0.0122,0.231,0.0,-1.5573,0.098,-4.18,-0.3583,0.0398,-2.9491,6.0,0.045,1.0,3.0,2,0,-2.0,0.231
1770453631.8612342,-4.1838,2.5911,-0.0122,0.244,0.0,-1.5573,0.104,-4.18,-0.3583,0.0398,-2.9491,6.0,0.045,1.0,3.0,2,0,-2.0,0.244
1770453631.8803277,-4.189,2.5911,-0.014,0.259,0.0,-1.5571,0.11,-4.19,-0.3583,0.0403,-2.9491,6.0,0.045,1.0,3.0,2,0,-2.0,0.259
1770453631.9006283,-4.1974,2.5906,-0.0097,0.275,0.0,-1.562,0.117,-4.2,-0.3583,0.026,-2.9489,6.0,0.045,1.0,3.0,2,0,-2.0,0.275
1770453631.9202516,-4.2026,2.5896,-0.0027,0.291,0.0,-1.5672,0.124,-4.2,-0.3583,0.0105,-2.9479,6.0,0.045,1.0,3.0,2,0,-2.0,0.291
1770453631.9458542,-4.2026,2.5896,-0.0027,0.311,0.0,-1.5672,0.131,-4.2,-0.3583,0.0105,-2.9479,6.0,0.045,1.0,3.0,2,0,-2.0,0.311
1770453631.96331,-4.2145,2.5899,0.0102,0.325,0.0,-1.5795,0.14,-4.21,-0.3583,-0.0256,-2.9482,6.0,0.045,1.0,3.0,2,0,-2.0,0.325
1770453631.9806573,-4.2145,2.5899,0.0102,0.339,0.0,-1.5795,0.146,-4.21,-0.3583,-0.0256,-2.9482,6.0,0.045,1.0,3.0,2,0,-2.0,0.339
1770453632.0039082,-4.2218,2.5899,0.0294,0.358,0.0,-1.5996,0.153,-4.22,-0.3583,-0.0849,-2.947,6.0,0.045,1.0,3.0,2,0,-2.0,0.358
1770453632.0211687,-4.2218,2.5899,0.0294,0.371,0.0,-1.5996,0.161,-4.22,-0.3583,-0.0849,-2.947,6.0,0.045,1.0,3.0,2,0,-2.0,0.371
1770453632.0417442,-4.2258,2.5907,0.0353,0.388,0.0,-1.6075,0.167,-4.23,-0.3583,-0.1083,-2.947,6.0,0.045,1.0,3.0,2,0,-2.0,0.388
1770453632.0713506,-4.2262,2.5914,0.0338,0.411,0.0,-1.6058,0.175,-4.23,-0.3583,-0.1034,-2.9479,6.0,0.045,1.0,3.0,2,0,-2.0,0.411
1770453632.0861726,-4.2261,2.5914,0.0331,0.423,0.0,-1.6052,0.185,-4.23,-0.3583,-0.1015,-2.948,6.0,0.045,1.0,3.0,2,0,-2.0,0.423
1770453632.1005208,-4.2233,2.5903,0.03,0.435,0.0,-1.5996,0.19,-4.22,-0.3583,-0.085,-2.9474,6.0,0.045,1.0,3.0,2,0,-2.0,0.435
1770453632.1228666,-4.221,2.5904,0.0251,0.453,0.0,-1.5955,0.196,-4.22,-0.3583,-0.0729,-2.9478,6.0,0.045,1.0,3.0,2,0,-2.0,0.453
1770453632.1467588,-4.221,2.5904,0.0251,0.472,0.0,-1.5955,0.204,-4.22,-0.3583,-0.0729,-2.9478,6.0,0.045,1.0,3.0,2,0,-2.0,0.472
1770453632.1642816,-4.217,2.5907,0.0146,0.486,0.0,-1.5865,0.212,-4.22,-0.3583,-0.0462,-2.9486,6.0,0.045,1.0,3.0,2,0,-2.0,0.486
1770453632.1931098,-4.2143,2.5901,0.0088,0.509,0.0,-1.5781,0.219,-4.21,-0.3583,-0.0216,-2.9484,6.0,0.045,1.0,3.0,2,0,-2.0,0.509
1770453632.2127016,-4.2084,2.5904,-0.0079,0.525,0.0,-1.5634,0.229,-4.21,-0.3583,0.0219,-2.9486,6.0,0.045,1.0,3.0,2,0,-2.0,0.525
1770453632.221902,-4.2084,2.5904,-0.0079,0.532,0.0,-1.5634,0.236,-4.21,-0.3583,0.0219,-2.9486,6.0,0.045,1.0,3.0,2,0,-2.0,0.532
1770453632.2528718,-4.2002,2.5907,-0.0285,0.557,0.0,-1.5422,0.239,-4.2,-0.3583,0.0844,-2.9478,6.0,0.045,1.0,3.0,2,0,-2.0,0.557
1770453632.2645557,-4.2002,2.5907,-0.0285,0.566,0.0,-1.5422,0.251,-4.2,-0.3583,0.0844,-2.9478,6.0,0.045,1.0,3.0,2,0,-2.0,0.566
1770453632.2874265,-4.1963,2.5903,-0.0331,0.584,0.0,-1.539,0.255,-4.2,-0.3583,0.0938,-2.9471,6.0,0.045,1.0,3.0,2,0,-2.0,0.584
1770453632.3043804,-4.1938,2.5903,-0.0424,0.598,0.0,-1.5271,0.263,-4.19,-0.3583,0.1288,-2.9458,6.0,0.045,1.0,3.0,2,0,-2.0,0.598
1770453632.3267086,-4.1892,2.5894,-0.0502,0.616,0.0,-1.5209,0.269,-4.19,-0.3583,0.1471,-2.9441,6.0,0.045,1.0,3.0,2,0,-2.0,0.616
1770453632.341596,-4.1892,2.5894,-0.0502,0.628,0.0,-1.5209,0.277,-4.19,-0.3583,0.1471,-2.9441,6.0,0.045,1.0,3.0,2,0,-2.0,0.628
1770453632.3662076,-4.1844,2.5896,-0.0635,0.647,0.0,-1.5058,0.282,-4.18,-0.3583,0.1915,-2.9417,6.0,0.045,1.0,3.0,2,0,-2.0,0.647
1770453632.380327,-4.1821,2.5891,-0.0674,0.659,0.0,-1.5027,0.291,-4.18,-0.3583,0.2006,-2.9406,6.0,0.045,1.0,3.0,2,0,-2.0,0.659
1770453632.4004064,-4.1784,2.5888,-0.0779,0.675,0.0,-1.4935,0.297,-4.18,-0.3583,0.2277,-2.9384,6.0,0.045,1.0,3.0,2,0,-2.0,0.675
1770453632.4222164,-4.1784,2.5888,-0.0779,0.692,0.0,-1.4935,0.304,-4.18,-0.3583,0.2277,-2.9384,6.0,0.045,1.0,3.0,2,0,-2.0,0.692
1770453632.4562323,-4.1704,2.5881,-0.0942,0.719,0.0,-1.4764,0.312,-4.17,-0.3583,0.2777,-2.9333,6.0,0.045,1.0,3.0,2,0,-2.0,0.719
1770453632.4640453,-4.1704,2.5881,-0.0942,0.725,0.0,-1.4764,0.324,-4.17,-0.3583,0.2777,-2.9333,6.0,0.045,1.0,3.0,2,0,-2.0,0.725
1770453632.4990616,-4.1644,2.588,-0.1085,0.753,0.0,-1.4608,0.326,-4.16,-0.3583,0.3235,-2.9286,6.0,0.045,1.0,3.0,2,0,-2.0,0.753
1770453632.5284917,-4.1627,2.5879,-0.1139,0.773,0.0,-1.456,0.339,-4.16,-0.3583,0.3374,-2.9269,6.0,0.045,1.0,3.0,2,0,-2.0,0.773
1770453632.5532944,-4.1562,2.5875,-0.1328,0.797,0.0,-1.4392,0.348,-4.16,-0.3583,0.3864,-2.9204,6.0,0.045,1.0,3.0,2,0,-2.0,0.797
1770453632.5852027,-4.1492,2.5867,-0.1491,0.818,0.0,-1.422,0.359,-4.15,-0.3583,0.4367,-2.9125,6.0,0.045,1.0,3.0,2,0,-2.0,0.818
1770453632.6095035,-4.1492,2.5867,-0.1491,0.836,0.0,-1.422,0.368,-4.15,-0.3583,0.4367,-2.9125,6.0,0.045,1.0,3.0,2,0,-2.0,0.836
1770453632.6737707,-4.1399,2.5855,-0.1729,0.849,0.0,-1.398,0.376,-4.14,-0.3583,0.5063,-2.8999,6.0,0.045,1.0,3.0,2,0,-2.0,0.849
1770453632.6963632,-4.1287,2.5833,-0.2031,0.867,0.0,-1.3681,0.382,-4.13,-0.3583,0.5921,-2.8814,6.0,0.045,1.0,3.0,2,0,-2.0,0.867
1770453632.7100394,-4.1205,2.582,-0.2246,0.878,0.0,-1.346,0.39,-4.12,-0.3583,0.6554,-2.8663,6.0,0.045,1.0,3.0,2,0,-2.0,0.878
1770453632.737365,-4.1165,2.5809,-0.2309,0.9,0.0,-1.3411,0.395,-4.12,-0.3583,0.6693,-2.862,6.0,0.045,1.0,3.0,2,0,-2.0,0.9
1770453632.7504272,-4.1108,2.5795,-0.2458,0.91,0.0,-1.3248,0.405,-4.11,-0.3583,0.7155,-2.8493,6.0,0.045,1.0,3.0,2,0,-2.0,0.91
1770453632.7646194,-4.1063,2.5787,-0.2554,0.922,0.0,-1.3167,0.41,-4.11,-0.3583,0.7384,-2.8427,6.0,0.045,1.0,3.0,2,0,-2.0,0.922
1770453632.782645,-4.0981,2.5764,-0.2732,0.936,0.0,-1.2982,0.415,-4.1,-0.3583,0.79,-2.8264,6.0,0.045,1.0,3.0,2,0,-2.0,0.936
1770453632.8137355,-4.0895,2.5747,-0.2986,0.961,0.0,-1.2724,0.421,-4.09,-0.3583,0.8624,-2.8034,6.0,0.045,1.0,3.0,2,0,-2.0,0.961
1770453632.8453593,-4.0874,2.5741,-0.3022,0.986,0.0,-1.2695,0.432,-4.09,-0.3583,0.8701,-2.8004,6.0,0.045,1.0,3.0,2,0,-2.0,0.986
1770453632.941482,-4.0671,2.567,-0.3538,1.0,0.0,-1.218,0.444,-4.07,-0.3583,1.0108,-2.7452,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453632.9775877,-4.061,2.5645,-0.367,1.0,0.0,-1.2035,0.45,-4.06,-0.3583,1.0496,-2.7278,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.0121977,-4.0564,2.5634,-0.3822,1.0,0.0,-1.1899,0.45,-4.06,-0.3583,1.0862,-2.7123,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.0510864,-4.0476,2.5597,-0.4046,1.0,0.0,-1.1671,0.45,-4.05,-0.3583,1.1464,-2.6835,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.0786023,-4.0389,2.5559,-0.4224,1.0,0.0,-1.1488,0.45,-4.04,-0.3583,1.1936,-2.6585,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.0942888,-4.0389,2.5559,-0.4224,1.0,0.0,-1.1488,0.45,-4.04,-0.3583,1.1936,-2.6585,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.1303215,-4.0342,2.5536,-0.4327,1.0,0.0,-1.1366,0.45,-4.03,-0.3583,1.2249,-2.6417,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.1565962,-4.0274,2.5507,-0.4543,1.0,0.0,-1.1174,0.45,-4.03,-0.3583,1.2743,-2.6151,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.1839993,-4.0232,2.5483,-0.4647,1.0,0.0,-1.105,0.45,-4.02,-0.3583,1.3054,-2.597,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.2170968,-4.0143,2.5433,-0.4879,1.0,0.0,-1.0814,0.45,-4.01,-0.3583,1.3641,-2.5611,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.2556374,-4.0047,2.5388,-0.5171,1.0,0.0,-1.052,0.45,-4.0,-0.3583,1.4364,-2.516,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.286696,-4.0004,2.5361,-0.5281,1.0,0.0,-1.0426,0.45,-4.0,-0.3583,1.4588,-2.5,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.3240776,-3.9937,2.5321,-0.5437,1.0,0.0,-1.0258,0.45,-3.99,-0.3583,1.4984,-2.4717,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.3725994,-3.9795,2.5243,-0.5884,1.0,0.0,-0.9826,0.45,-3.98,-0.3583,1.5995,-2.3982,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.403068,-3.9703,2.5184,-0.6084,1.0,0.0,-0.9623,0.45,-3.97,-0.3583,1.6444,-2.3604,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.439659,-3.9588,2.5112,-0.645,1.0,0.0,-0.9262,0.45,-3.96,-0.3583,1.7242,-2.2938,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.5242739,-3.9383,2.496,-0.7066,1.0,0.0,-0.8648,0.45,-3.94,-0.3583,1.8519,-2.1721,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.5678027,-3.9259,2.4843,-0.7451,1.0,0.0,-0.8272,0.45,-3.93,-0.3583,1.9244,-2.0922,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.5933084,-3.9169,2.4767,-0.7781,1.0,0.0,-0.7938,0.45,-3.92,-0.3583,1.9877,-2.0215,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.6265543,-3.9125,2.4726,-0.7932,1.0,0.0,-0.7767,0.45,-3.91,-0.3583,2.0191,-1.9843,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.6584513,-3.9066,2.4659,-0.8139,1.0,0.0,-0.7581,0.45,-3.91,-0.3583,2.0508,-1.9417,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.675185,-3.9066,2.4659,-0.8139,1.0,0.0,-0.7581,0.45,-3.91,-0.3583,2.0508,-1.9417,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.7057312,-3.9032,2.4612,-0.825,1.0,0.0,-0.7447,0.45,-3.9,-0.3583,2.0732,-1.9108,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.7410674,-3.8947,2.4523,-0.8519,1.0,0.0,-0.7173,0.45,-3.89,-0.3583,2.1181,-1.8475,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.781904,-3.8846,2.4406,-0.8896,1.0,0.0,-0.6795,0.45,-3.88,-0.3583,2.1771,-1.7589,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.820789,-3.8759,2.4309,-0.9253,1.0,0.0,-0.647,0.45,-3.88,-0.3583,2.2256,-1.6813,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.8652778,-3.865,2.4152,-0.9742,1.0,0.0,-0.5984,0.45,-3.87,-0.3583,2.2917,-1.5623,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.8988628,-3.8588,2.407,-1.0017,1.0,0.0,-0.5695,0.45,-3.86,-0.3583,2.3289,-1.4911,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.9181025,-3.8588,2.407,-1.0017,1.0,0.0,-0.5695,0.45,-3.86,-0.3583,2.3289,-1.4911,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.9556868,-3.8545,2.4019,-1.0181,1.0,0.0,-0.5511,0.45,-3.85,-0.3583,2.3516,-1.4452,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453633.9910939,-3.8475,2.3919,-1.0498,1.0,0.0,-0.5219,0.45,-3.85,-0.3583,2.3841,-1.371,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453634.0247133,-3.8409,2.3852,-1.0754,1.0,0.0,-0.495,0.45,-3.84,-0.3583,2.4142,-1.3034,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453634.0608335,-3.8332,2.3776,-1.1035,1.0,0.0,-0.4662,0.45,-3.83,-0.3583,2.444,-1.2297,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
1770453634.100331,-3.8245,2.3671,-1.1362,1.0,0.0,-0.4329,0.45,-3.82,-0.3583,2.4741,-1.1434,6.0,0.045,1.0,3.0,2,0,-2.0,1.0
