timestamp,x,y,yaw,v_current,cte,yaw_err,look_ahead_dist,target_x,target_y,target_local_x,target_local_y,kp,ki,kd,k_cte,mode_idx,in_slow_zone,steer_cmd,accel_cmd
1770020347.1912827,-5.0776,-1.3804,1.5454,0.266,0.058,-0.1474,0.113,-5.0571,-1.2633,0.1176,-0.0175,6.0,0.045,1.0,3.0,2,0,-0.949,0.266
1770020347.2116888,-5.0776,-1.3804,1.5454,0.282,0.058,-0.1339,0.12,-5.0571,-1.2533,0.1275,-0.0172,6.0,0.045,1.0,3.0,2,0,-0.9482,0.282
1770020347.2312155,-5.0776,-1.3804,1.5454,0.298,0.058,-0.1339,0.127,-5.0571,-1.2533,0.1275,-0.0172,6.0,0.045,1.0,3.0,2,0,-1.0033,0.298
1770020347.2514915,-5.0776,-1.3804,1.5453,0.314,0.0581,-0.1226,0.134,-5.0571,-1.2433,0.1375,-0.0169,6.0,0.045,1.0,3.0,2,0,-0.9634,0.314
1770020347.2712107,-5.0776,-1.3804,1.5453,0.33,0.0581,-0.1126,0.141,-5.0571,-1.2333,0.1475,-0.0167,6.0,0.045,1.0,3.0,2,0,-0.9119,0.33
1770020347.2912195,-5.0777,-1.3805,1.544,0.346,0.0584,-0.112,0.148,-5.0571,-1.2333,0.1477,-0.0166,6.0,0.045,1.0,3.0,2,0,-0.9087,0.346
1770020347.3115768,-5.0777,-1.3809,1.5414,0.362,0.0584,-0.1002,0.156,-5.0571,-1.2233,0.1581,-0.0159,6.0,0.045,1.0,3.0,2,0,-0.8231,0.362
1770020347.3313534,-5.0777,-1.3809,1.5414,0.378,0.0584,-0.0925,0.163,-5.0571,-1.2133,0.1681,-0.0156,6.0,0.05,1.0,3.0,1,0,-0.755,0.378
1770020347.3512485,-5.0777,-1.3809,1.5414,0.394,0.0584,-0.0857,0.17,-5.0571,-1.2033,0.1781,-0.0153,6.0,0.05,1.0,3.0,1,0,-0.688,0.394
1770020347.3716722,-5.0777,-1.3809,1.5414,0.41,0.0584,-0.0857,0.177,-5.0571,-1.2033,0.1781,-0.0153,6.0,0.05,1.0,3.0,1,0,-0.6642,0.41
1770020347.3912024,-5.0779,-1.3819,1.5379,0.426,0.0594,-0.077,0.185,-5.0571,-1.1933,0.1892,-0.0146,6.0,0.05,1.0,3.0,1,0,-0.5826,0.426
1770020347.4128976,-5.078,-1.3831,1.5344,0.443,0.0601,-0.0678,0.192,-5.0571,-1.1833,0.2004,-0.0136,6.0,0.05,1.0,3.0,1,0,-0.4931,0.443
1770020347.431493,-5.078,-1.3831,1.5344,0.458,0.0601,-0.0678,0.199,-5.0571,-1.1833,0.2004,-0.0136,6.0,0.05,1.0,3.0,1,0,-0.4684,0.458
1770020347.4512796,-5.078,-1.3831,1.5344,0.474,0.0601,-0.0629,0.206,-5.0571,-1.1733,0.2104,-0.0132,6.0,0.05,1.0,3.0,1,0,-0.4131,0.474
1770020347.471538,-5.078,-1.3834,1.5313,0.49,0.0601,-0.0548,0.213,-5.0571,-1.1633,0.2207,-0.0121,6.0,0.05,1.0,3.0,1,0,-0.3366,0.49
1770020347.4925606,-5.078,-1.3834,1.5313,0.507,0.0601,-0.0548,0.221,-5.0571,-1.1633,0.2207,-0.0121,6.0,0.05,1.0,3.0,1,0,-0.314,0.507
1770020347.5133963,-5.0781,-1.3827,1.534,0.524,0.0601,-0.0542,0.228,-5.0571,-1.1533,0.23,-0.0125,6.0,0.05,1.0,3.0,1,0,-0.292,0.524
1770020347.5317469,-5.0781,-1.3827,1.534,0.538,0.0601,-0.0504,0.236,-5.0571,-1.1433,0.24,-0.0121,6.0,0.05,1.0,3.0,1,0,-0.2538,0.538
1770020347.5547094,-5.0777,-1.3803,1.5375,0.557,0.0584,-0.0498,0.242,-5.0571,-1.1333,0.2475,-0.0123,6.0,0.05,1.0,3.0,1,0,-0.2371,0.557
1770020347.5716462,-5.0777,-1.3803,1.5375,0.57,0.0584,-0.0466,0.251,-5.0571,-1.1233,0.2575,-0.012,6.0,0.05,1.0,3.0,1,0,-0.207,0.57
1770020347.591485,-5.0776,-1.3787,1.5408,0.586,0.0583,-0.047,0.257,-5.0571,-1.1133,0.2658,-0.0125,6.0,0.05,1.0,3.0,1,0,-0.2006,0.586
1770020347.6118457,-5.0774,-1.3774,1.5428,0.602,0.0581,-0.0488,0.264,-5.0571,-1.1133,0.2645,-0.0129,6.0,0.05,1.0,3.0,1,0,-0.2065,0.602
1770020347.6318738,-5.0771,-1.3747,1.5444,0.618,0.0584,-0.0471,0.271,-5.0571,-1.1033,0.2718,-0.0128,6.0,0.05,1.0,3.0,1,0,-0.192,0.618
1770020347.6515956,-5.0771,-1.3747,1.5444,0.634,0.0584,-0.0445,0.278,-5.0571,-1.0933,0.2818,-0.0125,6.0,0.05,1.0,3.0,1,0,-0.1714,0.634
1770020347.671568,-5.0767,-1.3715,1.5444,0.65,0.0556,-0.0415,0.285,-5.0571,-1.0833,0.2886,-0.012,6.0,0.05,1.0,3.0,1,0,-0.1505,0.65
1770020347.6923935,-5.0767,-1.3701,1.5432,0.667,0.0553,-0.0383,0.293,-5.0571,-1.0733,0.2972,-0.0114,6.0,0.05,1.0,3.0,1,0,-0.125,0.667
1770020347.7112913,-5.0767,-1.3701,1.5432,0.682,0.0553,-0.0361,0.3,-5.0571,-1.0633,0.3072,-0.0111,6.0,0.05,1.0,3.0,1,0,-0.1068,0.682
1770020347.731286,-5.0767,-1.3701,1.5432,0.698,0.0553,-0.0361,0.307,-5.0571,-1.0633,0.3072,-0.0111,6.0,0.05,1.0,3.0,1,0,-0.1036,0.698
1770020347.7512167,-5.0765,-1.3653,1.5368,0.714,0.0564,-0.0259,0.314,-5.0571,-1.0433,0.3225,-0.0084,6.0,0.05,1.0,3.0,1,0,-0.0315,0.714
1770020347.7722745,-5.0765,-1.3606,1.5301,0.731,0.0546,-0.0183,0.321,-5.0571,-1.0333,0.3278,-0.006,6.0,0.05,1.0,3.0,1,0,0.0256,0.731
1770020347.792783,-5.0766,-1.3554,1.522,0.747,0.0189,-0.0097,0.329,-5.0571,-1.0233,0.3326,-0.0032,2.0,0.002,2.5,1.0,0,0,0.141,0.747
1770020347.8118374,-5.0763,-1.3526,1.5184,0.762,0.0182,-0.0042,0.336,-5.0571,-1.0133,0.3398,-0.0014,2.0,0.002,2.5,1.0,0,0,0.2024,0.762
1770020347.8312747,-5.0763,-1.3526,1.5184,0.778,0.0182,-0.0026,0.343,-5.0571,-1.0033,0.3498,-0.0009,2.0,0.002,2.5,1.0,0,0,0.2451,0.778
1770020347.8515937,-5.0763,-1.3456,1.5082,0.794,0.0185,0.0083,0.35,-5.0571,-0.9933,0.3528,0.0029,2.0,0.002,2.5,1.0,0,0,0.3165,0.794
1770020347.8714821,-5.0763,-1.3456,1.5082,0.81,0.0185,0.0098,0.357,-5.0571,-0.9833,0.3628,0.0035,2.0,0.002,2.5,1.0,0,0,0.3546,0.81
1770020347.8914635,-5.0758,-1.3399,1.5038,0.826,0.0175,0.016,0.365,-5.0571,-0.9733,0.367,0.0059,2.0,0.002,2.5,1.0,0,0,0.4002,0.826
1770020347.9111972,-5.0757,-1.3354,1.502,0.842,0.018,0.0189,0.372,-5.0571,-0.9633,0.3725,0.007,2.0,0.002,2.5,1.0,0,0,0.4323,0.842
1770020347.9319878,-5.0755,-1.331,1.5029,0.859,0.0185,0.0206,0.379,-5.0571,-0.9433,0.388,0.008,2.0,0.002,2.5,1.0,0,0,0.4529,0.859
1770020347.9548295,-5.0752,-1.3263,1.5056,0.877,0.0183,0.0192,0.386,-5.0571,-0.9333,0.3933,0.0076,2.0,0.002,2.5,1.0,0,0,0.4521,0.877
1770020347.971275,-5.0752,-1.3263,1.5056,0.89,0.0183,0.0204,0.395,-5.0571,-0.9233,0.4033,0.0082,2.0,0.002,2.5,1.0,0,0,0.453,0.89
1770020347.991227,-5.0747,-1.3218,1.5115,0.906,0.0176,0.0163,0.4,-5.0571,-0.9133,0.4088,0.0067,2.0,0.002,2.5,1.0,0,0,0.428,0.906
1770020348.0112178,-5.0743,-1.3187,1.5162,0.922,0.0533,0.0133,0.408,-5.0571,-0.9033,0.4157,0.0055,6.0,0.05,1.0,3.0,1,0,0.4633,0.922
1770020348.0353324,-5.0738,-1.3123,1.5253,0.941,0.0502,0.0056,0.415,-5.0571,-0.8933,0.4193,0.0024,6.0,0.05,1.0,3.0,1,0,0.3584,0.941
1770020348.0513275,-5.0738,-1.3123,1.5253,0.954,0.0502,0.0066,0.424,-5.0571,-0.8833,0.4293,0.0028,6.0,0.05,1.0,3.0,1,0,0.3323,0.954
1770020348.0712173,-5.0733,-1.3059,1.5371,0.97,0.049,-0.0036,0.429,-5.0571,-0.8733,0.4329,-0.0016,6.0,0.05,1.0,3.0,1,0,0.2281,0.97
1770020348.091644,-5.0731,-1.3027,1.5412,0.986,0.048,-0.0068,0.436,-5.0571,-0.8633,0.4396,-0.003,6.0,0.05,1.0,3.0,1,0,0.1698,0.986
