X,Y
1.6101434399063,-1.02344033770249
1.6201105255357,-1.02394214959781
1.63008202448171,-1.02434689629842
1.64005699149027,-1.0246545394361
1.65003448097855,-1.02486504984765
1.66001354712459,-1.02497840757762
1.66999324395699,-1.02499460188019
1.67997262544455,-1.02491363122021
1.68995074558596,-1.02473550327335
1.69992665849951,-1.02446023492534
1.70989941851268,-1.02408785227041
1.71986808025186,-1.02361839060879
1.72983169873194,-1.02305189444338
1.73978932944588,-1.02238841747551
1.74974002845425,-1.02162802259986
1.75968285247471,-1.02077078189852
1.76961685897146,-1.01981677663412
1.77954110624455,-1.01876609724214
1.78945465351914,-1.01761884332235
1.79935656103473,-1.01637512362936
1.8092458901342,-1.0150350560623
