X,Y
1.01577089361944,0.791807863455051
1.00809255518294,0.785433090519757
1.00047664666437,0.778983861995445
0.992923890018234,0.772460789240502
0.985435001212513,0.765864490613425
0.978010690160802,0.759195591414198
0.970651660655006,0.75245472382502
0.963358610298628,0.745642526850375
0.956132230440643,0.738759646256458
0.948973206109953,0.731806734509959
,
,
0.93488868874482,0.717722781461348
0.92796396109876,0.710593634074112
0.921108684054292,0.703397678815452
0.914323502123901,0.696135592227388
0.907609053229937,0.688808057069411
0.900965968644646,0.681415762254286
0.894394872930814,0.67395940278329
0.887896383883054,0.666439679680863
0.881471112469714,0.658857299928703
