X,Y
1.19009884993142,0.907473479531056
1.18128610666232,0.902790513890051
1.17251937532717,0.898021967694466
1.16379948697341,0.893168292981425
1.15512726820796,0.888229949857862
1.14650354111884,0.883207406456898
1.13792912319733,0.878101138893473
1.12940482726038,0.872911631219206
1.12093146137361,0.86763937537651
1.11250982877468,0.862284871151961
1.10414072779719,0.856848626128916
1.09582495179495,0.851331155639402
1.08756328906682,0.84573298271526
1.07935652278194,0.840054638038563
1.07120543090552,0.834296659891316
1.06311078612508,0.828459594104425
1.0550733557772,0.822543994005952
1.0470939017748,0.816550420368667
1.03917318053488,0.810479441356888
1.03131194290684,0.804331632472619
1.02351093410129,0.798107576500999
1.01577089361944,0.791807863455051
1.00809255518294,0.785433090519757
1.00047664666437,0.778983861995445
0.992923890018234,0.772460789240502
0.985435001212513,0.765864490613425
